INFO 2025-06-27 16:52:04,028 autoreload 7976 6108 Watching for file changes with StatReloader
INFO 2025-06-27 16:52:10,646 autoreload 7976 6108 C:\Users\avgus\Desktop\femida\femida-admin\backend\booking\middleware.py changed, reloading.
INFO 2025-06-27 16:52:10,966 autoreload 5060 7060 Watching for file changes with StatReloader
INFO 2025-06-27 16:52:16,546 autoreload 5060 7060 C:\Users\avgus\Desktop\femida\femida-admin\backend\femida\settings.py changed, reloading.
INFO 2025-06-27 16:52:16,854 autoreload 10668 2224 Watching for file changes with StatReloader
INFO 2025-06-27 16:52:19,406 basehttp 10668 4092 "OPTIONS /api/bookings/ HTTP/1.1" 200 0
INFO 2025-06-27 16:52:19,406 basehttp 10668 4216 "OPTIONS /api/rooms/ HTTP/1.1" 200 0
INFO 2025-06-27 16:52:19,406 basehttp 10668 5912 "OPTIONS /api/users/me/ HTTP/1.1" 200 0
INFO 2025-06-27 16:52:19,406 basehttp 10668 6592 "OPTIONS /api/guests/ HTTP/1.1" 200 0
WARNING 2025-06-27 16:52:19,419 log 10668 4092 Unauthorized: /api/bookings/
WARNING 2025-06-27 16:52:19,419 log 10668 5912 Unauthorized: /api/users/me/
WARNING 2025-06-27 16:52:19,419 log 10668 4216 Unauthorized: /api/rooms/
WARNING 2025-06-27 16:52:19,419 log 10668 6592 Unauthorized: /api/guests/
WARNING 2025-06-27 16:52:19,420 basehttp 10668 4092 "GET /api/bookings/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:52:19,420 basehttp 10668 5912 "GET /api/users/me/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:52:19,420 basehttp 10668 4216 "GET /api/rooms/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:52:19,420 basehttp 10668 6592 "GET /api/guests/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:52:19,424 log 10668 4092 Unauthorized: /api/bookings/
WARNING 2025-06-27 16:52:19,425 log 10668 5912 Unauthorized: /api/users/me/
WARNING 2025-06-27 16:52:19,426 log 10668 4216 Unauthorized: /api/rooms/
WARNING 2025-06-27 16:52:19,426 log 10668 6592 Unauthorized: /api/guests/
WARNING 2025-06-27 16:52:19,427 basehttp 10668 4092 "GET /api/bookings/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:52:19,427 basehttp 10668 5912 "GET /api/users/me/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:52:19,427 basehttp 10668 4216 "GET /api/rooms/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:52:19,428 basehttp 10668 6592 "GET /api/guests/ HTTP/1.1" 401 183
INFO 2025-06-27 16:52:27,753 autoreload 10668 2224 C:\Users\avgus\Desktop\femida\femida-admin\backend\booking\middleware.py changed, reloading.
INFO 2025-06-27 16:52:28,074 autoreload 3912 9092 Watching for file changes with StatReloader
WARNING 2025-06-27 16:53:30,769 log 3912 8500 Unauthorized: /api/users/me/
WARNING 2025-06-27 16:53:30,770 log 3912 7792 Unauthorized: /api/bookings/
WARNING 2025-06-27 16:53:30,770 log 3912 212 Unauthorized: /api/users/me/
WARNING 2025-06-27 16:53:30,770 log 3912 6044 Unauthorized: /api/rooms/
WARNING 2025-06-27 16:53:30,770 log 3912 8900 Unauthorized: /api/guests/
WARNING 2025-06-27 16:53:30,770 log 3912 2612 Unauthorized: /api/rooms/
WARNING 2025-06-27 16:53:30,771 basehttp 3912 8500 "GET /api/users/me/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:53:30,771 basehttp 3912 7792 "GET /api/bookings/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:53:30,771 basehttp 3912 212 "GET /api/users/me/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:53:30,771 basehttp 3912 6044 "GET /api/rooms/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:53:30,772 basehttp 3912 8900 "GET /api/guests/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:53:30,772 basehttp 3912 2612 "GET /api/rooms/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:53:30,773 log 3912 8500 Unauthorized: /api/bookings/
WARNING 2025-06-27 16:53:30,774 log 3912 7792 Unauthorized: /api/guests/
WARNING 2025-06-27 16:53:30,775 basehttp 3912 8500 "GET /api/bookings/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:53:30,775 basehttp 3912 7792 "GET /api/guests/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:53:34,074 log 3912 212 Unauthorized: /api/users/me/
WARNING 2025-06-27 16:53:34,075 log 3912 6044 Unauthorized: /api/rooms/
WARNING 2025-06-27 16:53:34,076 log 3912 8900 Unauthorized: /api/bookings/
WARNING 2025-06-27 16:53:34,077 log 3912 2612 Unauthorized: /api/guests/
WARNING 2025-06-27 16:53:34,077 log 3912 8500 Unauthorized: /api/users/me/
WARNING 2025-06-27 16:53:34,079 log 3912 7792 Unauthorized: /api/rooms/
WARNING 2025-06-27 16:53:34,079 basehttp 3912 212 "GET /api/users/me/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:53:34,080 basehttp 3912 8900 "GET /api/bookings/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:53:34,080 basehttp 3912 6044 "GET /api/rooms/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:53:34,080 basehttp 3912 2612 "GET /api/guests/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:53:34,080 basehttp 3912 8500 "GET /api/users/me/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:53:34,080 basehttp 3912 7792 "GET /api/rooms/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:53:34,081 log 3912 212 Unauthorized: /api/bookings/
WARNING 2025-06-27 16:53:34,082 log 3912 8900 Unauthorized: /api/guests/
WARNING 2025-06-27 16:53:34,083 basehttp 3912 212 "GET /api/bookings/ HTTP/1.1" 401 183
WARNING 2025-06-27 16:53:34,083 basehttp 3912 8900 "GET /api/guests/ HTTP/1.1" 401 183
INFO 2025-06-27 16:53:40,474 basehttp 3912 4044 "OPTIONS /api/auth/token/ HTTP/1.1" 200 0
WARNING 2025-06-27 16:53:41,082 log 3912 4044 Unauthorized: /api/auth/token/
WARNING 2025-06-27 16:53:41,083 basehttp 3912 4044 "POST /api/auth/token/ HTTP/1.1" 401 63
INFO 2025-06-27 16:53:43,980 basehttp 3912 4044 "POST /api/auth/token/ HTTP/1.1" 200 483
INFO 2025-06-27 16:53:44,002 basehttp 3912 4044 "OPTIONS /api/users/me/ HTTP/1.1" 200 0
INFO 2025-06-27 16:53:44,009 basehttp 3912 4044 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:53:44,257 basehttp 3912 7860 "OPTIONS /api/rooms/ HTTP/1.1" 200 0
INFO 2025-06-27 16:53:44,259 basehttp 3912 10380 "OPTIONS /api/bookings/ HTTP/1.1" 200 0
INFO 2025-06-27 16:53:44,262 basehttp 3912 4044 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:53:44,264 basehttp 3912 1492 "OPTIONS /api/guests/ HTTP/1.1" 200 0
INFO 2025-06-27 16:53:44,271 basehttp 3912 7860 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:44,271 basehttp 3912 4044 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:53:44,271 basehttp 3912 10380 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:44,281 basehttp 3912 10380 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:44,281 basehttp 3912 7860 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:44,300 basehttp 3912 4044 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:44,317 basehttp 3912 4044 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:49,680 basehttp 3912 4044 "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-27 16:53:49,687 basehttp 3912 4044 "GET /api/users/ HTTP/1.1" 200 400
INFO 2025-06-27 16:53:49,693 basehttp 3912 4044 "GET /api/users/ HTTP/1.1" 200 400
INFO 2025-06-27 16:53:56,017 basehttp 3912 4044 "POST /api/auth/token/ HTTP/1.1" 200 483
INFO 2025-06-27 16:53:56,025 basehttp 3912 4044 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:53:56,254 basehttp 3912 4044 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:53:56,256 basehttp 3912 7860 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:56,256 basehttp 3912 10380 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:56,258 basehttp 3912 4044 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:53:56,265 basehttp 3912 1492 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:56,271 basehttp 3912 7860 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:56,271 basehttp 3912 10380 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:53:56,278 basehttp 3912 4044 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:15,111 autoreload 9408 9700 Watching for file changes with StatReloader
INFO 2025-06-27 16:55:18,109 basehttp 9408 9960 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 16:55:18,110 views 9408 7056 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 16:55:18,110 basehttp 9408 7768 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:18,111 basehttp 9408 7056 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:18,113 basehttp 9408 9968 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:18,113 basehttp 9408 7256 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 16:55:18,120 views 9408 7768 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 16:55:18,120 basehttp 9408 9960 "GET /api/users/me/ HTTP/1.1" 200 119
